Beast,Magische Tierwesen
Shrinking Solution,
shrunken head,Schrumpfkopf
"Shunpike, Stan(ley)","Shunpike, Stan(ley)"
Sickle,Sickle
Sickle,
Side-Along-Apparition,Seit-an-Seit-Apparieren
Silencing Charm,Schweigezauber
Silencio,Silencio
"Sinistra, Professor","Sinistra, Professor"
Sir Cadogan,Sir Cadogan
Sites of Historical Sorcery (PA5),Historische Stätten der Zauberei
"Skeeter, Rita",Kimmkorn Rita
"Skeeter, Rita",
"Skeeter, Rita Rita Kimmkorn","Kimmkorn, Rita"
Skele-gro,Skelewachs
Skele-gro,Skelewachs
Skiving Snackboxes,Nasch- und Schwänz-Leckereien
Sleekeasy's Hair Potion,
Sleeping Draft/Draught/Potion,Schlaftrunk
"Slinkhard, Wilberg","Slinkhard, Wilberg"
"Sloper, Jack","Sloper, Jack"
Sloth Grip Roll,Faultirerrolle
Slug Club,Slug Klub
Sluggy,Sluggy
"Slughorn, Horace E. F.","Slughorn, Horace E. F."
Slug-vomiting Charm,Schnecken-Spuck-Zauber
Slytherin,Slytherin
"Slytherin, Salazar","Slytherin, Salazar"
"Slytherin, Salazar","Slytherin, Salazar"
Smeltings,Smeltings
"Smethwyck, Hippocrates","Smethwyck, Hippocrates"
"Smethwyk, Elliot",
"Smith, Hepzibah","Smith, Hepzibah"
"Smith, Zacharias","Smith, Zacharias"
snake fangs,
"Snape, Eileen","Snape, Eileen"
"Snape, Severus, Professor","Snape, Severus, Professor"
"Snape, Tobias","Snape, Tobias"
Snargaluff Pod,Snargaluff-Kokon
"Snargaluff Stump, gnarled",Snargaluff-Stumpf
Sneakoscope,Spickoskop
Sneakoscope,Taschenspickoskop
sneezewort,Nieskraut
Snidget,
Snitch,Schnatz
Snivellus (auch: Snivelly),Schniefelus
Snowy,Snowy
Snowy owl,Schneeeule
Snuffles,Schnuffel
Snuffles,
soft option,Laberfach
Solution of strained and pickled Murtlap tentacles,Lösung aus eingelegten und filtrierten Murtlap-Tentakeln
Sonnets of a Sorcerer (CS13),
Sopophorous Bean,Schlafbohne
Sorting Hat,Sprechender Hut
Sparky,
Spattergroit,Griselkrätze
Specialis revelio,Specialis revelio
Spectrespec,Gespensterbrille
Spell Damage,Fluchschäden
Spellman's Syllabary(alte Runen Buch),Zaubermanns Silbentabelle
Spellotape,Zauberband
spells,Zaubersprüche
Spew,Belfer
Sphinx,
Spinner's End,Spinner's End
"Spinnet, Alicia","Spinnet, Alicia"
Splinching,Zersplintern
"Spore, Phyllida",
Squib,Squib
St. Brutus,St. Brutus
St. Mungo,St. Mungo
St. Mungo's Hospital,St. Mungo Hospital
Standard Book of Spells Grade 1 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 1 - Miranda Habicht
Standard Book of Spells Grade 2 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 2 - Miranda Habicht
Standard Book of Spells Grade 3 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 3 - Miranda Habicht
Standard Book of Spells Grade 4 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 4 - Miranda Habicht
Standard Book of Spells Grade 5 by Miranda Goshawk,Lehrbuch der Zaubersprüche Band 5 - Miranda Habicht
Starfish and Stick,
Statute of Secrecy,Geheimhaltungsstatut
Stealth and Tracing,Verheimlichen und Aufspüren
Stealth Sensoring Spell,Heimlichkeitsaufspürzauber
Stebbins,Stebbins
"Stebbins, Senior","Stebbins, Senior"
"Stephen, Cornfoot",
"Stimpson, Patricia","Stimpson, Patricia"
stings,Stiche
Stink Pellets,Stinkkügelchen
Stinksap,Stinksaft
Stoatshead Hill,Wieselkopf
Stonewall High,Stonewall High
Streams of Silver Light,Pfeilartige Ströme silbernen Lichts
Streeler,
Strengthening Solution,Stärkungtrank
Stretching Jinx,Streckfluch
"Stroulger, Edgar","Stroulger, Edgar"
"Strout, Miriam",
"Stubbs, Billy","Stubbs, Billy"
"Study of Recent Developments in Wizardry, A (SS12)",Jüngere Entwicklung der Zauberei
"Stump, Grogan",
Stunning Jinx,Schockzauber
Stupefy,Stupor
Substantive Charm,Substantivzauber
Summerby,Summerby
Summers,Summers
Summoning Charm,Sammelzauber/Aufrufezauber
Sunday Prophet,Sonntagsprophet
Swelling Solution,Schwelllösung
"Switch, Emeric","Wendel, Emery"
Switching Spell,Wandelzauber
T = Troll,T = Troll
Talon Clipping by Charms,Krallenschneiden mit Zauberkraft
tapeworm,
Tarantallegra,Tarantallegra
tarradiddles,
Tawny owl,Waldkauz
Tebo,
Ten-Second Pimple Vanisher,Zehn-Sekunden Pickelentferner
Tergeo,Tergeo
Term,"Trimester, Jahr"
"The Adventures of Martin Miggs, the Mad Muggle","Abenteuer von Martin Miggs, dem mickrigen Muggel"
The Boy who lived,"Der Junge, der überlebt hat"
The Burrow,Fuchsbau
The chosen one,Der Auserwählte
The Dark Arts Outsmarted,Die dunklen Künste überlistet
The Dream Oracle by Inigo Imago,Das Traumorakel von Inigo Imago
"the Foul, Herpo","der Üble, Herpo"
The Healer's Helpmate,Heilers Helferlein
The Knight Bus,Der Fahrende Ritter
The Leaky Cauldron,Der Tropfende Kessel
The Marauder's Map,Die Karte des Rumtreibers
The Monster Book of Monsters,Monsterbuch der Monster
The Noble Sport of Warlocks by Quintius Umfraville (1602) (QA),
"the Oddball, Uric","der komische Kauz, Ulrich"
The Quibbler,Der Klitterer
The Rise and Fall of the Dark Arts,Aufstieg und Niedergang der dunklen Künste
The Sorting Hat,Der sprechende Hut
The Standard Book of Spells Grade 6,"Lehrbuch der Zaubersprüche, Band 6"
the three D's,goldene Dreierregel
The Weird Sisters,Schwestern des Schicksals
Theories of Transubstantial Transfiguration (QA),
Thestral,Thestral
"Thickey, Janus",
"Thomas, Dean","Thomas, Dean"
"Tibbles, Mr.","Tibbles, Mr."
"Timms, Agatha","Timms, Agatha"
Toenail Grow Hex,"Verwünschung, die Zehnägel alarmierend schnell wachsen ließ"
Toffee eclairs,Karamell-Eclair
"Tofty, Professor","Tofty, Professor"
"Toke, Tilly","Toke, Tilly"
Tom,Tom
Tonks Andromeda,Tonks Andromeda
"Tonks, Nymphadora","Tonks, Nymphadora"
"Tonks, Ted","Tonks, Ted"
Toujours pur,Toujours pur
"Towler, Kenneth","Tower, Kenneth"
Transfiguration,Verwandlung
Transguration Today,Verwandlung Heute
Travels With Trolls by Gilderoy Lockhart (CS4),Trips mit Trollen - Gilderoy Lockhart
Travers,Travers
Treacle Fudge,Sirupbonbons
Treating Scale Rot,Behandlung von Schuppenflechte
"Trelawney, Cassandra","Trelawney, Cassandra"
"Trelawny, Sybill Patricia, Professor","Trelawny, Sybill Patricia, Professor"
"Tremlett, Donaghan",
Trevor,Trevor
Trick Wands,Trickzauberstäbe
"Trimble, Quentin","Sumo, Quirin"
Trip Jinx,Stolperfluch
Triwizard Tournament,Trimagisches Turnier
Troll,Troll
Trophy room,Pokalzimmer
Truth Potion,Wahrheitselixier
tubeworms,Ringelwürmer
Tufty,Tuffy
"Turpin, Lisa","Turpin, Lisa"
Tutshill Tornados,Tutshill Tornados
Twentyfive Ways to Mingle with Muggles,"25 Tipps, wie man sich unter Muggel mischt"
Twilfitt and Tattings,Twilfitt und Tattings
Two-Way Mirror,Zweiwegespiegel
"Twycross, Wilkie","Twycross, Wilkie"
umbrella-sized flowers,"riesige, schirmartige Blumen"
"Umbridge, Dolores Jane, Professor","Umbridge, Dolores Jane, Professor"
Umbridgitis,Umbridgitis
Umgubular Slashkilter,Umbumbliger Schlitzfatzer
Unbreakable Vow,unbrechbarer Schwur
uncontrollable giggling,Dauerkichern
Unfogging the Future by Cassandra Vablatsky,Die Entnebelung der Zukunft - Kassandra Wablatschki
Unicorn,Einhorn
"unicorn horns, tail hair","Einhornhorn, -schwanzhaar"
"unliftable jinxes, hexes","Unaufhebbare Flüche, Hexereien"
U-NO-POO,Du-scheißt-nie-mehr
Unspeakable,Unsägliche
"Upper Barnton, Hengist of","Upper Barnton, Hengist von"
Urquhart,Urquhart
"Vablatsky, Cassandra","Wablatschki, Kassandra"
Vaisey,Vaisey
valerian roots,Baldrianwurzel
Vampire,Vampire
"Vance, Emmeline","Vance, Emmeline"
Vandalized Telephone Box,
"Vane, Romilda","Vane, Romilda"
Vanishing Cabinet,Unsichtbarkeitsschrank
vanishing sickness,Verschinditis
Vanishing Spell,Verschwindezauber
"Vector, Professor","Vector, Professor"
Veela,Veela
Venemous Tentacula,Venemosa Tentacula/Giftige Tentakel
"Veridian, Vindictus, Professor","Veridian, Vindictus, Professor"
Veritaserum,Veritaserum
Verity,Verity
Violet,Violet
"Viridian, Vindictus","Viridian, Vindictus"
Visitor's Tearoom,Besucher-Cafeteria
"Voldemort, Lord","Voldemort, Lord"
Voldemort's potion,Voldemorts Zaubertrank
Voyages With Vampires,Abstecher mit Vampiren - Gilderoy Lockhart
Waddivasi,Waddivasi
"Waffling, Adalbert","Schwafel, Adalbert"
Wand Arrows,
Wand backfiring,Zauberstab-Fehlzündungen
Wandering With Werewolves,Wandern mit Werwölfen - Gilderoy Lockhart (Bd.2)
"Warbeck, Celestina","Warbeck, Celestina"
"Warrington, C.","Warrington, C."
Wartcap powder,Warzhautpulver
Watch Wizard/Security Wizards,Sicherheitszauberer/Wachtzauberer
Weasley is our King,Weasley ist unser King
"Weasley, Arthur","Weasley, Arthur"
"Weasley, Bill","Weasley, Bill"
"Weasley, Charlie","Weasley, Charlie"
"Weasley, Fred","Weasley, Fred"
"Weasley, Fred und George","Weasley, Fred und George"
"Weasley, George","Weasley, George"
"Weasley, Ginevra Molly (Ginny)","Weasley, Ginevra Molly (Ginny)"
"Weasley, Molly","Weasley, Molly"
"Weasley, Percy Ignatius","Weasley, Percy Ignatius"
"Weasley, Ron Bilius","Weasley, Ron Bilius"
Weasleys,Weasleys
Weasleys' Love Potions,Weasleys Liebestränke
Weasley's Wildfire Whiz-bangs,Weasleys wildfeurige Wunderknaller
Weasley's Wizard Wheezes,Weasleys Zauberhafte Zauberscherze
Weatherby,Weatherby
Weird Sisters,"Schicksalsschwestern, Schwestern des Schicksals"
Weird Wizarding Dilemmas and Their Solutions (GF26),Tausend knifflige Zauberrätsel
Wendelin the Weird,Wendelin die Ulkige
Werewolf,Werwolf
Werewolf Capture Unit (FB),Werwolf-Fangkommando
Werewolf Code of Conduct,Benimmregeln für Werwölfe
Werewolf Registry (FB),Werwolfregister
Werewolf Support Services (FB),Werwolf-Unterstützungsamt
"Whalley, Eric","Whalley, Eric"
Wheezy,Wheezy
whelk,Wellhornschnecke
"Where There's a Wand, There's a Way (GF26)","Große Selbsthilfebuch für Zauberer - Buch aus der Bibliothek, mit dem Harry
sich auf das Trimagische Turnier vorbereiten will (Bd.4)"
Which Broomstick?,Rennbesen im Test/Besentest
"Whitby, Kevin","Whitby, Kevin"
Whizz Hard Books,Whizz Hard Books
Who Am I? by Gilderoy Lockhart,Who Am I? by Gilderoy Lockhart
Whomping Willow,Peitschende Weide
Why I Didn't Die When the Augurey Cried by Gulliver Pokeby,"Warum ich nicht starb, als der Augerey schrie"
"Widdershins, Willy","Widdershins, Willy"
"Wildsmith, Ignatia","Wildsmith, Ignatia"
Wilfred the Wistful,Wilfried der Wehmütige
Wilkes,Wilkes
Will,Will
Williamson,Williamson
willow,Weide/Weidenholz
Wiltshire Mansion,Landsitz in Wiltshire
Wimbourne Wasps,Wimbourner Wespen
"Wimple, Gilbert","Wilbert, Gimpel"
Wingardium Leviosa,Wingardium Leviosa
Winged Horse,Geflügeltes Pferd
Winky,Winky
Wisteria Walk,Glyzinienweg
Witch Weekly,Hexenwoche
Witherwings,Federflügel
Wit-Sharpening Potion,Gripsschärfungstrank
Wizarding Examinations Authoroty,Zaubererprüfungsbehörde
Wizarding Money,Zauberergeld
Wizarding Wireless Network(WWN),Magischer Rundfunk(MRF)
Wizengamot,Zaubergamot
Wizengamot Administration Service,Zaubergamot-Verwaltungsdienst
wolfsbane,Wolfswurz
Wolfsbane Potion,Wolfsbann-Trank
Wonder of the Wigtown Wanderers by Kennilworthy Whisp (QA),Das Wunder der Wigtown Wanderers
Wonder Witch products,Wunder-Hexe Produkte
Won-Won,Won-Won
"Wood, Oliver","Wood, Oliver"
"Woodcroft, Hengist of","Woodcroft, Hengis von / Hengist of"
Woodlice,Holzläuse
"Worme, Augustus",
Wormtail,Wurmschwanz
wormwood,Wermut
"Worple, Eldred","Worple, Eldred"
Wrackspurt,Schlickschlupf
"Wright, Bowman","Wright, Bowman"
Writing on the Wall,Schrift an der Wand
Wronski Feint,Wronski-Bluff
WWN (Wizarding Wireless Network),MRF(Magischer Rundfunk)
WWW (Weasley's Wizard Weazes),WZZ (Weasleys Zauberhafte Zauberscherze)
x,x
xx,xx
xxx,xxx
xxxx,xxxx
xxxxx,xxxxx
Yaxley,Yaxley
Year With The Yeti by Gilderoy Lockhart,Ein Jahr bei einem Yeti - Gilderoy Lockhart
Yeti,Yeti
yew,Eibe
You know who,Du weißt schon wer
Yule Ball,Weihnachtsball
Yvonne,Yvonne
"Zabini, Blaise","Zabini, Blaise"
"Zamojski, Ladislaw","Zamojski, Ladislaw"
"Zeller, Rose","Zeller, Rose"
Zonko,Zonko
